tool;type;value;source
Transcript;keyword;transcription;TERESAH
Transcription Assistant;tool-type;Transcription;TERESAH
Transcription Assistant;keyword;transcription;TERESAH
Transcriva;tool-type;Transcription;TERESAH
TypeWright;tool-type;Transcription;TERESAH
VoiceWalker;tool-type;Transcription;TERESAH
Transcription Assistant;description;Transcription Assistant is a tool that assists in transcription, and incorporates metadata about each image and transcription that may be used to search through an electronic library of transcriptions.;BambooDirt
Transcriva;description;Transcriva is transcription software for the Mac. Whether it's your meeting minutes, interviews, lectures, home movies, dictation, speeches, or your favorite TV show, Transcriva can help you transcribe them all.;BambooDirt
Chicken of the VNC;keyword;transfer;TERESAH
Transformer;description;Transformer can load Unicode-encoded text files and transform them in various ways, including trying to rescue text files created in word processing programs that no longer run (e.g. old versions of Word.);BambooDirt
Trello;description;Trello is a collaboration tool that organizes your projects into boards. In one glance, Trello tells you what's being worked on, who's working on what, and where something is in a process.;BambooDirt
Adobe Illustrator;keyword;TrueType;TERESAH
3DVIA Virtools;keyword;Truevision TarGA (TGA);TERESAH
GIMP: GNU Image Manipulation Program;keyword;Truevision TarGA (TGA);TERESAH
Stanford POS Tagger;keyword;tsv;TERESAH
VUE;developer;Tufts University;TERESAH
Tumblr;description;Tumblr is a blogging/microblogging platform with a focus on data sharing between individual blogs.;BambooDirt
TuneGlue;description;TuneGlue is a music search engine that generates and connects nodes containing artist names related to the one queried, and networks the related artists in an interactive web.;BambooDirt
TurnTool;keyword;TurnTool (TNT);TERESAH
TurnTool;developer;TurnTool ApS;TERESAH
TurnTool;description;"TurnTool is a suite of tools that enable 3D models to be created and viewed in a low-bandwidth environment. The suite consists of two components: a TurnToolBox plug-in for integration with 3D Studio Max, Autodesk Viz, Cinema4D and ArchiCAD that allows these software applications to export objects into the TurnTool format; and a TurnTable Viewer plug-in that is able to recreate the 3D model in a windowed environment or web browser.
Features: 
3D modelling
ActiveX viewer
Low bandwidth use";BambooDirt
TurnTool;description;"TurnTool is a suite of tools that enable 3D models to be created and viewed in a low-bandwidth environment. The suite consists of two components: a TurnToolBox plug-in for integration with 3D Studio Max, Autodesk Viz, Cinema4D and ArchiCAD that allows these software applications to export objects into the TurnTool format; and a TurnTable Viewer plug-in that is able to recreate the 3D model in a windowed environment or web browser.";ArtsHumanities
Twapper Keeper;description;Twapper Keeper lets users create an archive of tweets based on hashtag, keyword, or person, for them to review online.;BambooDirt
Text Variation Explorer;description;TVE is an interactive Java tool for exploring the effect of window size on three common linguistic measures: type-token ratio, proportion of hapax legomena, and average word length. In addition, TVE can cluster the text fragments according to a user-given set of words by applying principal component analysis (PCA).;BambooDirt
Bootstrap;developer;Twitter;TERESAH
Twapper Keeper;keyword;Twitter;TERESAH
Tweetster;keyword;Twitter;TERESAH
Your Twapper Keeper;keyword;Twitter;TERESAH
Twitter;description;Twitter allows users to send 140-character messages. There is a thriving digital humanities community of Twitter users.;BambooDirt
TXM;description;TXM is a free and open-source cross-platform Unicode,  XML & TEI based text/corpus analysis environment and graphical client, supporting Windows, Linux and Mac OS X. It can also be used online as a J2EE standard compliant web portal (GWT based) with access control built in. It offers a comprehensive range of analysis tools (concordances, collocate search, frequency lists, etc.) based on the powerfull CQP full text search engine (http://cwb.sourceforge.net) and a range of statistical functions (factorial analysis, classification, cooccurrency analysis, etc.) based on R packages (http://www.r-project.org).;BambooDirt
ABBYY Fine Reader;standard;TXT;TERESAH
WordSmith;standard;TXT;TERESAH
TypePad;description;TypePad is a commercial blogging platform.;BambooDirt
QuarkXPress;keyword;typesetting;TERESAH
QuarkXPress;keyword;typesetting;TERESAH
TypeWright;description;TypeWright is a tool for correcting the text-version of a document made up of page images. These text-versions are crucially necessary: they are what enables full-text searching, datamining, preserving, and curating texts of historical importance. Right now, the text running behind the page images of these texts has been mechanically typed, leaving behind errors that need to be corrected by human eyes and hands.;BambooDirt
Flare;developer;UC Berkeley Visualization Lab;TERESAH
Textal;developer;UCL Centre for Digital Humanities;TERESAH
UMapper;description;"UMapper allows users to create embeddable, interactive Flash maps and geo-games from within their browser. There is a free option available with limited customization, and a more flexible paid option; see the feature comparison.";BambooDirt
TiddlyWiki;developer;UnaMesa;TERESAH
Adobe Illustrator;keyword;Unicode;TERESAH
Adobe InDesign;keyword;Unicode;TERESAH
QuarkXPress;keyword;Unicode;TERESAH
ArcGis;keyword;Unified Modelling Language (UML);TERESAH
VARD;developer;University Centre for Computer Corpus Research on Language (UCREL);TERESAH
CLAWS Tagger;developer;University Centre for Computer Corpus Research on Language (UCREL), University of Lancaster;TERESAH
Pie-Slice;developer;University College London;TERESAH
Tesserae;developer;University of Buffalo;TERESAH
GeoParser;license;University of Edinburgh fee-free use (no modifications);TERESAH
GeoParser;developer;University of Edinburgh School of Informatics - Language Technology Group;TERESAH
MONK Project;developer;University of Illinois;TERESAH
MONK workbench;developer;University of Illinois;TERESAH
HathiTrust Digital Library;developer;University of Michigan;TERESAH
SoundScriber;developer;University of Michigan;TERESAH
ARTISAN;developer;University of Northumbria;TERESAH
AustESE;developer;University of Queensland.;TERESAH
EPrints.org;developer;University of Southampton;TERESAH
Sophie;developer;University of Southern California;TERESAH
ICE (Integrated Content Environment);developer;University of Southern Queensland;TERESAH
Text Variation Explorer;developer;University of Tampere;TERESAH
Weka;developer;University of Waikato;TERESAH
Transformer;developer;University of Victoria;TERESAH
VisualEyes;developer;University of Virginia;TERESAH
Blacklight;developer;University of Virginia Library;TERESAH
Neatline;developer;University of Virginia Scholars' Lab;TERESAH
